client_ID,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,gender,marital_status,education_level,country,state,city,city_latitude,city_longitude,employment_type,loan_term_months,loan_to_income_ratio,other_debt,debt_to_income_ratio,open_accounts,credit_utilization_ratio,past_delinquencies
CUST_00020,24,10800,MORTGAGE,8,EDUCATION,B,1750,10.99,1,0.16,N,2,Male,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Unemployed,12,0.162037037,1517.058751,0.3025054399,10,0.5421641385,0
CUST_00021,25,162500,RENT,2,VENTURE,A,35000,7.49,0,0.22,N,4,Male,Divorced,Bachelor,Canada,BC,Victoria,48.4284,-123.3656,Self-employed,24,0.2153846154,17757.118,0.3246591877,10,0.8600191114,2
CUST_00022,25,137000,RENT,9,PERSONAL,E,34800,16.77,0,0.25,Y,2,Female,Single,Bachelor,Canada,BC,Vancouver,49.2827,-123.1207,Full-time,60,0.2540145985,18184.53912,0.3867484607,13,0.5987117464,0
CUST_00023,22,65000,RENT,4,EDUCATION,D,34000,17.58,1,0.52,N,4,Male,Single,Bachelor,UK,Scotland,Edinburgh,55.9533,-3.1883,Full-time,60,0.5230769231,13008.72815,0.7232112024,14,0.6885465953,1
CUST_00024,24,10980,OWN,0,PERSONAL,A,1500,7.29,0,0.14,N,3,Female,Married,Bachelor,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.1366120219,2916.701807,0.4022497092,8,0.2267361755,0
CUST_00025,22,80000,RENT,3,PERSONAL,D,33950,14.54,1,0.42,Y,4,Female,Married,Bachelor,USA,Texas,Houston,29.7604,-95.3698,Unemployed,36,0.424375,12357.35731,0.5788419664,9,0.1626193295,1
CUST_00026,24,67746,RENT,8,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,Male,Single,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Self-employed,60,0.4871136303,10275.66867,0.6387929718,4,0.1604130616,0
CUST_00027,21,11000,MORTGAGE,3,VENTURE,E,4575,17.74,1,0.42,Y,3,Female,Single,Bachelor,Canada,Ontario,Toronto,43.6532,-79.3832,Full-time,36,0.4159090909,2129.21693,0.6094742663,14,0.8146596456,0
CUST_00028,23,11000,OWN,0,PERSONAL,A,1400,9.32,0,0.13,N,3,Female,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Full-time,36,0.1272727273,1089.418699,0.2263107909,9,0.8036785196,1
CUST_00029,24,65000,RENT,6,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,Female,Single,High School,UK,Scotland,Edinburgh,55.9533,-3.1883,Full-time,24,0.5,6983.784375,0.6074428365,14,0.9469747495,0
CUST_00030,21,11389,OTHER,5,EDUCATION,C,4000,12.84,1,0.35,Y,2,Male,Widowed,High School,UK,Wales,Swansea,51.6214,-3.9436,Part-time,24,0.3512160857,1945.330055,0.5220238875,5,0.7516126769,0
CUST_00031,21,11520,OWN,5,MEDICAL,B,2000,11.12,1,0.17,N,3,Male,Single,Master,USA,California,Los Angeles,34.0522,-118.2437,Part-time,36,0.1736111111,1827.634738,0.3322599599,4,0.3261426475,0
CUST_00032,25,120000,RENT,2,VENTURE,A,32000,6.62,0,0.27,N,2,Male,Married,High School,UK,England,Manchester,53.4808,-2.2426,Part-time,60,0.2666666667,11274.35788,0.360619649,1,0.6323590697,0
CUST_00033,26,95000,RENT,7,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,Male,Single,Bachelor,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,24,0.3268421053,11548.38464,0.4484040489,3,0.7290549039,1
CUST_00034,25,306000,RENT,2,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,Female,Single,High School,UK,England,London,51.5074,-0.1278,Part-time,36,0.07924836601,80018.58415,0.340747007,9,0.7006330054,0
CUST_00035,26,300000,MORTGAGE,10,MEDICAL,C,7800,13.49,0,0.03,N,4,Male,Married,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Self-employed,36,0.026,57353.14644,0.2171771548,9,0.7934822701,0
CUST_00036,21,12000,OWN,5,EDUCATION,A,2500,7.51,1,0.21,N,4,Female,Single,High School,USA,New York,Buffalo,42.8864,-78.8784,Full-time,60,0.2083333333,957.7560358,0.2881463363,11,0.6761238973,1
CUST_00037,22,48000,RENT,1,EDUCATION,E,30000,18.39,1,0.63,N,2,Male,Single,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Self-employed,60,0.625,13531.14492,0.9068988524,7,0.08604345958,1
CUST_00038,24,64000,RENT,8,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,Female,Divorced,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Part-time,60,0.46875,18066.19512,0.7510342987,1,0.7567895378,1
CUST_00039,25,75000,RENT,4,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,Female,Single,High School,USA,Texas,Dallas,32.7767,-96.797,Unemployed,36,0.4,12013.3434,0.560177912,4,0.8186212631,1
CUST_00040,23,71500,RENT,3,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,Male,Married,High School,USA,New York,Buffalo,42.8864,-78.8784,Self-employed,60,0.4195804196,10969.32042,0.5729974885,3,0.6332119858,1
CUST_00041,26,62050,RENT,6,MEDICAL,E,30000,17.99,1,0.41,N,2,Female,Single,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Full-time,36,0.4834810637,14168.08856,0.7118144812,10,0.7371392372,0
CUST_00042,24,12000,OWN,4,VENTURE,B,2500,12.69,1,0.21,N,3,Male,Married,Bachelor,Canada,Ontario,Ottawa,45.4215,-75.6972,Part-time,36,0.2083333333,3439.120914,0.4949267429,15,0.4728106189,1
CUST_00043,26,300000,MORTGAGE,10,VENTURE,A,20000,7.88,0,0.07,N,4,Female,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Full-time,24,0.06666666667,76506.53569,0.3216884523,8,0.8980147949,1
CUST_00044,23,300000,OWN,1,EDUCATION,F,24250,19.41,0,0.08,Y,2,Female,Single,Master,USA,California,Los Angeles,34.0522,-118.2437,Part-time,12,0.08083333333,30304.00539,0.1818466846,3,0.567247432,0
CUST_00045,26,300000,OWN,9,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,Male,Married,Master,USA,California,San Francisco,37.7749,-122.4194,Full-time,60,0.03333333333,82483.87642,0.3082795881,10,0.1263889069,1
CUST_00046,26,300000,MORTGAGE,0,EDUCATION,D,25000,15.33,0,0.08,N,3,Female,Single,Bachelor,USA,Texas,Dallas,32.7767,-96.797,Full-time,24,0.08333333333,80410.3068,0.3513676893,14,0.3583151304,0
CUST_00047,25,300000,MORTGAGE,9,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,Male,Single,Bachelor,UK,Wales,Cardiff,51.4816,-3.1791,Self-employed,12,0.06,56336.23987,0.2477874662,8,0.925818016,1
CUST_00048,26,80690,RENT,8,PERSONAL,A,30000,7.49,1,0.37,N,3,Male,Divorced,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,36,0.3717932829,21629.75523,0.6398532065,12,0.8179190957,1
CUST_00049,22,66300,RENT,4,MEDICAL,B,30000,12.69,1,0.38,N,3,Female,Married,High School,USA,New York,New York City,40.7128,-74.006,Full-time,36,0.4524886878,15791.82223,0.6906760517,12,0.1162207866,0
CUST_00050,26,89028,RENT,0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,Male,Single,High School,UK,England,Manchester,53.4808,-2.2426,Part-time,36,0.3369726378,16421.42318,0.5214249806,2,0.8539456593,0
CUST_00051,24,78000,RENT,4,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,Female,Single,Master,USA,Texas,Houston,29.7604,-95.3698,Full-time,24,0.3846153846,12106.04904,0.5398211415,7,0.5234376586,0
CUST_00052,23,78000,RENT,7,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,Male,Married,High School,UK,Scotland,Edinburgh,55.9533,-3.1883,Full-time,24,0.3846153846,9921.279468,0.5118112752,7,0.4783919753,0
CUST_00053,23,92004,RENT,6,PERSONAL,C,30000,15.23,1,0.33,Y,3,Female,Married,Bachelor,USA,Texas,Houston,29.7604,-95.3698,Full-time,12,0.3260727794,19401.20153,0.5369462363,5,0.4228617284,1
CUST_00054,23,97000,RENT,7,VENTURE,B,30000,10.65,1,0.31,N,2,Female,Widowed,Bachelor,Canada,Quebec,Quebec City,46.8139,-71.208,Full-time,24,0.3092783505,7328.235302,0.3848271681,9,0.5060185554,1
CUST_00055,25,120000,RENT,9,EDUCATION,A,30000,7.9,0,0.25,N,4,Female,Divorced,High School,Canada,Quebec,Montreal,45.5017,-73.5673,Full-time,36,0.25,15007.29465,0.3750607888,11,0.8901055979,0
CUST_00056,26,280000,RENT,4,PERSONAL,C,10000,15.96,0,0.04,Y,3,Male,Married,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.03571428571,41379.21436,0.1834971942,2,0.7759269034,1
CUST_00057,26,277104,RENT,0,VENTURE,B,20000,11.48,0,0.07,N,3,Male,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Full-time,60,0.07217506784,77101.25171,0.3504144715,7,0.1056075859,0
CUST_00058,23,277000,OWN,3,PERSONAL,A,35000,,0,0.13,N,4,Male,Single,Bachelor,USA,New York,New York City,40.7128,-74.006,Full-time,36,0.1263537906,73129.33064,0.3903585944,4,0.4543164381,0
CUST_00059,25,128000,RENT,9,PERSONAL,A,30000,7.29,0,0.23,N,4,Male,Single,PhD,USA,California,Los Angeles,34.0522,-118.2437,Part-time,36,0.234375,21438.41718,0.4018626342,10,0.4937972506,0
CUST_00060,24,12000,OWN,2,VENTURE,E,1750,,0,0.15,Y,3,Male,Single,Bachelor,USA,New York,Buffalo,42.8864,-78.8784,Self-employed,36,0.1458333333,2467.213396,0.3514344496,1,0.647043919,1
CUST_00061,21,131000,RENT,0,VENTURE,A,30000,5.99,0,0.23,N,4,Male,Divorced,High School,Canada,BC,Vancouver,49.2827,-123.1207,Full-time,12,0.2290076336,34431.39022,0.4918426734,7,0.5057181661,1
CUST_00062,22,275000,OWN,6,VENTURE,B,12000,11.58,0,0.04,N,2,Female,Married,Bachelor,USA,California,Los Angeles,34.0522,-118.2437,Full-time,36,0.04363636364,76162.28593,0.3205901307,2,0.8210003489,0
CUST_00063,26,263000,MORTGAGE,0,EDUCATION,B,10000,,1,0.04,N,4,Female,Single,Bachelor,UK,England,London,51.5074,-0.1278,Full-time,60,0.03802281369,63598.54871,0.2798423905,13,0.9443700058,0
CUST_00064,25,221850,MORTGAGE,9,MEDICAL,D,25000,15.7,1,0.1,N,2,Male,Married,Bachelor,UK,England,London,51.5074,-0.1278,Full-time,60,0.1126887537,57661.70226,0.3726017681,9,0.7936832655,1
CUST_00065,22,70000,RENT,6,EDUCATION,D,29100,15.99,1,0.42,N,3,Male,Divorced,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.4157142857,16840.4519,0.65629217,12,0.6287874469,0
CUST_00066,22,12000,MORTGAGE,7,EDUCATION,D,1500,14.84,0,0.13,Y,3,Female,Married,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,12,0.125,2503.484412,0.333623701,12,0.8663120213,0
CUST_00067,26,260000,OWN,10,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,Female,Single,Bachelor,UK,Wales,Cardiff,51.4816,-3.1791,Full-time,36,0.1076923077,61419.98456,0.3439230175,15,0.4245188941,0
CUST_00068,25,259000,MORTGAGE,9,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,Female,Divorced,Master,USA,California,San Francisco,37.7749,-122.4194,Full-time,24,0.07722007722,31530.27497,0.1989585906,8,0.2691099118,1
CUST_00069,24,255000,MORTGAGE,9,EDUCATION,A,9600,6.99,0,0.04,N,2,Female,Married,High School,Canada,BC,Vancouver,49.2827,-123.1207,Self-employed,36,0.03764705882,25386.74765,0.137202932,9,0.5245497625,1
CUST_00070,25,250000,RENT,2,MEDICAL,C,25000,13.49,0,0.1,N,4,Female,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Full-time,36,0.1,62425.33877,0.3497013551,8,0.345013493,0
CUST_00071,25,12000,OWN,0,MEDICAL,C,3000,,1,0.25,N,3,Male,Single,High School,UK,England,London,51.5074,-0.1278,Full-time,60,0.25,3485.808033,0.5404840028,9,0.8385487476,0
CUST_00072,22,56950,RENT,6,MEDICAL,A,28000,,1,0.49,N,2,Female,Widowed,High School,USA,California,Los Angeles,34.0522,-118.2437,Full-time,36,0.4916593503,6052.191471,0.5979313691,9,0.1913760105,0
CUST_00073,21,12000,OWN,6,EDUCATION,C,3000,13.61,1,0.25,Y,3,Male,Married,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,24,0.25,2298.199366,0.4415166138,11,0.1773709326,0
CUST_00074,23,65000,RENT,2,EDUCATION,A,28000,7.9,1,0.43,N,2,Female,Married,High School,Canada,BC,Vancouver,49.2827,-123.1207,Full-time,60,0.4307692308,10103.29958,0.586204609,7,0.2471470824,0
CUST_00075,26,85000,RENT,2,VENTURE,A,28000,7.49,1,0.33,N,3,Female,Single,High School,USA,New York,New York City,40.7128,-74.006,Part-time,36,0.3294117647,13066.0284,0.4831297459,7,0.1613276044,1
CUST_00076,26,12000,OWN,2,EDUCATION,A,6100,7.51,1,0.51,N,3,Female,Single,High School,Canada,Quebec,Quebec City,46.8139,-71.208,Full-time,24,0.5083333333,3205.238525,0.7754365438,12,0.6440897048,1
CUST_00077,22,88000,RENT,6,VENTURE,B,28000,9.91,1,0.32,N,3,Male,Single,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Part-time,36,0.3181818182,25698.42088,0.6102093282,13,0.6764352679,0
CUST_00078,21,12000,OWN,0,PERSONAL,C,4200,13.48,1,0.35,Y,4,Female,Widowed,Bachelor,USA,Texas,Houston,29.7604,-95.3698,Part-time,36,0.35,871.4907128,0.4226242261,9,0.2609152357,0
CUST_00079,22,12000,OWN,6,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,Female,Single,PhD,UK,England,Manchester,53.4808,-2.2426,Full-time,24,0.3958333333,2949.986911,0.6416655759,5,0.2960264283,1
CUST_00080,24,83004,RENT,0,VENTURE,D,28000,15.99,1,0.34,Y,4,Female,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Self-employed,36,0.3373331406,8806.578368,0.4434313812,9,0.7302734624,1
CUST_00081,24,250000,RENT,2,EDUCATION,C,18000,12.98,0,0.07,Y,3,Female,Married,Bachelor,USA,California,San Francisco,37.7749,-122.4194,Unemployed,12,0.072,63732.34777,0.3269293911,10,0.1796535887,0
CUST_00082,144,250000,RENT,4,VENTURE,C,4800,13.57,0,0.02,N,3,Male,Married,High School,USA,New York,New York City,40.7128,-74.006,Full-time,24,0.0192,38659.41351,0.173837654,4,0.08076664659,0
CUST_00083,25,100000,RENT,5,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,Female,Single,PhD,USA,New York,New York City,40.7128,-74.006,Self-employed,60,0.28,24412.2705,0.524122705,2,0.5691222592,1
CUST_00084,26,110000,RENT,10,EDUCATION,A,28000,8.9,0,0.25,N,2,Female,Single,Bachelor,UK,England,Manchester,53.4808,-2.2426,Full-time,24,0.2545454545,12920.32207,0.3720029279,6,0.7026390785,0
CUST_00085,26,12000,OWN,0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,Female,Single,High School,UK,England,London,51.5074,-0.1278,Full-time,36,0.225,1439.148393,0.3449290327,15,0.8536644491,0
CUST_00086,22,108000,RENT,6,EDUCATION,B,28000,,1,0.26,N,4,Female,Married,High School,USA,Texas,Houston,29.7604,-95.3698,Unemployed,36,0.2592592593,17926.54129,0.4252457527,2,0.8074007618,0
CUST_00087,23,151200,RENT,7,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,Female,Married,PhD,USA,New York,Buffalo,42.8864,-78.8784,Self-employed,36,0.1851851852,27882.67861,0.3695944353,11,0.9329624301,2
CUST_00088,24,69000,RENT,2,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,Female,Single,Master,USA,New York,New York City,40.7128,-74.006,Full-time,60,0.4,4108.318702,0.4595408507,8,0.09654578619,1
CUST_00089,21,12000,MORTGAGE,5,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,Male,Single,Master,UK,Wales,Cardiff,51.4816,-3.1791,Full-time,24,0.2708333333,2049.713818,0.4416428182,6,0.2654351196,0
CUST_00090,22,70000,RENT,4,EDUCATION,C,27500,13.06,1,0.39,Y,3,Female,Single,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Unemployed,60,0.3928571429,7489.146196,0.4998449457,11,0.1886409342,0
CUST_00091,22,240000,OWN,6,PERSONAL,B,25000,,0,0.1,N,2,Female,Married,Bachelor,USA,New York,New York City,40.7128,-74.006,Unemployed,60,0.1041666667,48599.43535,0.306664314,11,0.5279021526,0
CUST_00092,26,73200,RENT,5,VENTURE,D,27050,15.62,1,0.37,Y,2,Female,Divorced,High School,UK,Scotland,Edinburgh,55.9533,-3.1883,Full-time,24,0.3695355191,7989.885746,0.4786869637,9,0.8553557291,1
CUST_00093,24,83000,RENT,5,PERSONAL,C,27000,13.49,1,0.33,Y,2,Female,Married,High School,Canada,Quebec,Quebec City,46.8139,-71.208,Full-time,36,0.3253012048,11528.961,0.4642043494,13,0.2207607407,0
CUST_00094,24,73399,RENT,0,VENTURE,D,27000,,1,0.37,N,3,Female,Single,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,36,0.3678524231,18180.56448,0.6155474118,1,0.6938220798,0
CUST_00095,23,62500,RENT,7,MEDICAL,B,26000,11.71,1,0.42,N,2,Male,Married,High School,USA,Texas,Houston,29.7604,-95.3698,Self-employed,60,0.416,17684.97954,0.6989596727,3,0.8411835156,2
CUST_00096,23,120000,RENT,1,EDUCATION,B,25600,12.69,0,0.21,N,3,Male,Single,Bachelor,USA,New York,New York City,40.7128,-74.006,Full-time,36,0.2133333333,16313.43484,0.3492786237,3,0.5912176701,0
CUST_00097,24,12360,OWN,2,MEDICAL,C,1600,13.57,0,0.13,N,3,Male,Single,Bachelor,UK,England,London,51.5074,-0.1278,Full-time,60,0.1294498382,923.4728884,0.2041644732,10,0.6658414999,0
CUST_00098,22,60000,RENT,0,VENTURE,B,25475,10.99,1,0.42,N,3,Female,Single,High School,UK,England,Manchester,53.4808,-2.2426,Full-time,24,0.4245833333,4281.544635,0.4959424106,10,0.6221049508,1
CUST_00099,25,234000,MORTGAGE,3,MEDICAL,C,20000,14.27,0,0.09,Y,4,Male,Widowed,Master,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,60,0.08547008547,21441.53219,0.1771005649,6,0.2747476702,0
CUST_00100,24,234000,OWN,8,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,Male,Single,PhD,Canada,Ontario,Toronto,43.6532,-79.3832,Part-time,60,0.08547008547,56080.33387,0.3251296319,6,0.4689482584,0
CUST_00101,26,234000,MORTGAGE,10,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,Female,Widowed,Master,Canada,Ontario,Toronto,43.6532,-79.3832,Unemployed,60,0.09230769231,69031.67696,0.3873148588,15,0.3326564425,0
CUST_00102,25,221004,MORTGAGE,6,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,Male,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Full-time,12,0.05384517927,62965.50137,0.3387517935,7,0.7681848638,3
CUST_00103,26,232500,MORTGAGE,0,MEDICAL,C,25000,14.17,0,0.11,Y,2,Female,Married,High School,USA,New York,New York City,40.7128,-74.006,Full-time,24,0.1075268817,68888.55332,0.4038217347,13,0.0905189047,2
CUST_00104,25,230000,MORTGAGE,5,MEDICAL,C,35000,13.99,0,0.15,N,4,Male,Married,Master,USA,New York,New York City,40.7128,-74.006,Full-time,60,0.152173913,18829.75145,0.2340423976,7,0.2074786046,1
CUST_00105,23,83000,RENT,7,EDUCATION,B,25300,10.99,1,0.3,N,3,Male,Married,Bachelor,Canada,BC,Vancouver,49.2827,-123.1207,Full-time,36,0.3048192771,11290.76697,0.4408526141,6,0.703987809,0
CUST_00106,22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,Male,Single,High School,Canada,BC,Victoria,48.4284,-123.3656,Full-time,60,0.1587301587,674.8497759,0.2122896648,10,0.6660952918,0
CUST_00107,25,12600,OWN,3,PERSONAL,C,1750,13.61,0,0.14,N,3,Male,Divorced,High School,UK,Wales,Swansea,51.6214,-3.9436,Self-employed,36,0.1388888889,1508.979545,0.2586491702,8,0.1481976824,1
CUST_00108,21,42500,RENT,3,EDUCATION,C,25000,12.73,1,0.59,Y,3,Male,Single,Master,USA,Texas,Dallas,32.7767,-96.797,Part-time,60,0.5882352941,9043.660955,0.8010273166,14,0.6909832901,1
CUST_00109,24,41000,RENT,2,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,Male,Single,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Part-time,36,0.6097560976,4384.243816,0.7166888736,14,0.2399838854,0
CUST_00110,25,12816,OWN,0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,Female,Widowed,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Full-time,36,0.234082397,818.8823502,0.2979777115,3,0.1441084757,0
CUST_00111,24,12960,MORTGAGE,1,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,Male,Married,Master,Canada,BC,Victoria,48.4284,-123.3656,Full-time,36,0.2816358025,830.3665388,0.3457072947,13,0.2967394754,0
CUST_00112,26,226000,MORTGAGE,4,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,Female,Married,Master,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,60,0.08849557522,64040.38999,0.3718601327,4,0.7896882926,1
CUST_00113,25,225000,MORTGAGE,0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,Female,Widowed,Bachelor,Canada,BC,Victoria,48.4284,-123.3656,Full-time,36,0.1333333333,22267.63138,0.2323005839,12,0.2258985139,0
CUST_00114,26,213000,MORTGAGE,6,EDUCATION,B,35000,10.65,1,0.16,N,2,Male,Widowed,Master,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.1643192488,55799.2302,0.4262874657,2,0.3925408807,0
CUST_00115,24,225000,RENT,0,MEDICAL,B,6000,,0,0.03,N,4,Male,Married,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Full-time,36,0.02666666667,63994.91882,0.3110885281,15,0.4676710757,0
CUST_00116,24,12960,MORTGAGE,0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,Female,Widowed,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,36,0.3472222222,2172.270239,0.5148356666,6,0.6569253379,0
